Gene
METTL7B
SCG2
HEPN1
FABP7
PTPRZ1
AGT
CCND2
SPARCL1
GPM6A
ETV1
IDH1
GLUL
GAP43
ATP1B2
PNMA2
MARCKS
MAP2
SEMA6D
NFIA
MAPK1IP1L
CPVL
GRIA2
FXYD6
SDCBP
TCF12
CLU
PMP2
PJA2
ARRDC3
CALM1
RUFY3
TSPAN3
TSC22D1
PIK3R3
SEC11C
FDFT1
FAM59B
DDX3X
PCMTD2
DHRS7
HAS2
IDI1
ENO2
PCDHGA2
APC
MAGED1
ZNF260
NONO
MTRNR2L8
MAPRE2
RFXANK
PLTP

